french,english
alice,Alice
couverture,blanket
moments,moments
big,big
mesure,measure
atteindre,reach
singe,monkey
pistolet,gun
frontière,frontier
réel,real
réfléchi,thoughtful
somme,sum
agents,agents
ours,bear
prisonniers,prisoners
évidemment,obviously
afrique,Africa
allemand,German
dan,dan
couche,lying down
relations,relations
texas,Texas
delà,of the
celles,those
navire,ship
deviens,become
bite,cock
laisses,leave
dirige,directed
partenaire,partner
aube,dawn
demi,half
affreux,awful
camarade,comrade
street,street
inquiéter,worry
tableau,table
fatiguée,tired
entreprise,company
demandes,requests
nana,girl
re,D
coincé,stuck up
tenu,tenuous
viré,fired
suspect,suspicious
reconnais,recognize
ressens,feeling
juif,Jewish
directement,directly
mexique,Mexico
cherché,look for
marine,Marine
prisonnier,prisoner
finit,finished
howard,Howard
étoile,star
jean,Jeans
convaincre,to convince
filer,spin
kevin,kevin
bosse,bump
pousser,push
protection,protection
signé,sign
crier,to cry out
rêvé,dream
respirer,breathe
propriétaire,owner
prêtre,priest
donnes,gate
taire,to hush up
permettre,to permit
prudent,prudent
carl,carl
commis,clerk
chaîne,chain
copains,friends
sec,dry
cauchemar,nightmare
laver,wash
hollywood,Hollywood
jeff,Jeff
réfléchis,reflected
trompe,deceived
hais,haz
immeuble,building
supporter,support
soi,self
bagages,luggage
tir,shot
traverser,to cross
commissaire,commissioner
mac,mac
donnerai,will give
reviendrai,will come back
larmes,tears
déranger,to bother
Arthur,Arthur
pigé,pig
réserve,Reserve
adam,Adam
volant,flying
uniforme,uniform
st,st
croient,believe
différents,different
souffrir,suffer
maudit,damn
valise,suitcase
prendrai,will take
assurance,assurance
abandonné,abandoned
dames,ladies
lendemain,the following day
navré,heartbroken
prennent,takes
sénateur,senator
roule,rolled
montagnes,mountains
lapin,rabbit
juifs,Jews
amuse,amused
espérais,hoped
fleur,flower
merveilleuse,marvelous
tournée,tour
scott,scott
information,information
foyer,foyer
tourné,turned
personnage,character
permettez,Allow
amitié,friendship
hâte,haste
opinion,opinion
curieux,curious
concert,concert
enfance,childhood
extraordinaire,extraordinary
davantage,any further
saviez,knew
chargé,charged
porc,pork
recommence,start again
chèque,check
piano,piano
jouez,play
océan,ocean
ayant,having
go,Go
pattes,paws
ravie,tight
trace,trace
réveillé,wake up
miles,miles
soupe,soup
sucre,sugar
écoutes,listen
vierge,virgin
mauvaises,bad
objet,object
adorable,adorable
chine,China
sonne,sound
envoyez,send
réputation,reputation
kate,kate
sport,sport
brave,brave
lieux,premises
brûle,burn
russes,Russian
murs,walls
second,second
etes,are
facilement,easily
troupes,troops
titrage,titration
canon,cannon
bague,Ring
bâtiment,building
seraient,would be
cellule,cell
Susan,Susan
survivre,survive
trouverai,will find
printemps,spring
voisins,neighbors
nuits,nights
chances,odds
contrôler,control
compliqué,complicated
voyais,saw
retirer,withdraw
ancienne,Ancient
théorie,theory
avancez,Advance
studio,studio
exploser,explode
explosion,blast
fiancée,fiancee
évident,obvious
gardé,kept
accusé,accused
Annie,Annie
témoins,witnesses
désir,desire
humanité,humanity
amen,Amen
magie,magic
restera,will stay
palais,palace
cirque,circus
cinglé,crazy
conduis,driven
sales,dirty
traces,traces
station,station
construire,build
joey,Joey
siège,headquarters
Kelly,Kelly
semblait,seemed
vivants,living
voient,see
représente,represented
sombre,dark
lourd,heavy
lá,the
familles,families
égal,equal
surveille,monitoring
terme,term
gêne,embarrassed
poule,chicken
pére,dad
devraient,should
soif,thirst
haine,hate
Rachel,Rachel
Jason,Jason
surveiller,to watch
ted,ted
marin,marine
procureur,prosecutor
traité,treaty
vivent,live
chansons,songs
souvenez,remember
entière,whole
résultat,result
préparé,prepare
top,top
enchantée,Nice to meet you
gardien,guardian
traite,treaty
avancer,move up
commun,commmon
pêche,sin
tien,yours
posé,laid
libérer,to free
gamins,kids
taule,jail
retournez,return
médicaments,medications
matériel,material
crâne,skull
région,region
débile,stupid
science,science
délicieux,delicious
privée,private
créature,creature
ho,ho
ed,ED
king,King
liquide,liquid
réglé,rule
gay,gay
apprend,learn
quant,as to
péché,Fishing
répéter,repeat
auprès,with
tâche,task
devine,guess
mener,carry out
vente,sale
plu,enjoyed
joueur,player
modèle,model
aurons,will have
up,up
mensonges,lies
fermez,close
traiter,treat
secteur,sector
soyons,let's be
barre,rod
appelée,called
projets,projects
roman,novel
veille,day before
étudier,to study
tenue,outfit
physique,physical
passait,passed
concours,competition
jaune,yellow
inconnu,unknown
victor,Victor
vision,vision
black,black
lentement,slowly
surface,surface
dick,dick
com,com
matt,matt
kilomètres,kilometers
baise,fuck
x,X
sers,serve
abandonne,abandoned
vivante,lively
spéciale,special
prof,teacher
poissons,Pisces
bosser,work
cherchais,sought
my,my
empire,empire
cigarettes,cigarettes
amies,friends
aventure,adventure
responsabilité,responsibility
sauve,Safe
devrions,should
lucy,Lucy
atteint,hit
infirmière,nurse
humeur,mood
descendez,Go down
résultats,results
tenté,tent
baisse,decrease
mn,mn
rare,rare
empreintes,fingerprints
proches,relatives
sauvage,wild
virer,fire
fumée,smoke
lisa,Lisa
engagé,engaged
romantique,romantic
cloche,Bell
brian,brian
magique,Magic
chers,Dear
comité,committee
choisis,choose
voila,here is
jaloux,jealous
divorce,divorce
lord,lord
données,data
détective,detective
rouges,red
fred,fred
ambulance,ambulance
rentrée,back to school
port,Harbor
anne,Anne
roy,roy
cochon,pig
enfuir,escape
devra,will have to
francisco,Francisco
ménage,household
roger,Roger
particulier,particular
journaliste,journalist
croix,cross
pareille,likely
royaume,kingdom
disparaître,to disappear
jus,juice
comte,county
sainte,holy
soucis,worry
allemagne,Germany
patience,patience
fallu,owl
net,net
suivez,follow
panique,panic
q,q
morceaux,parts
construit,built
crédit,credit
rater,to fail
normale,normal
attendait,was waiting
bye,bye
fromage,cheese
embrasse,kiss
complet,complete
bouffe,food
boutique,shop
seriez,would be
recommencer,restart
scénario,script
jeudi,Thursday
endroits,locations
brûler,burn
nommé,appointed
mardi,tuesday
hall,lobby
réalisé,realized
terry,Terry
passion,passion
enlevé,removed
profond,deep
télévision,television
abruti,fool
réussir,to succeed
répond,respond
red,red
emmené,taken
cadeaux,gifts
remonter,go back up
accompagner,accompany
johnson,johnson
différente,different
tromper,to trick
pot,jar
lien,link
serpent,snake
imaginez,Imagine
excusez,Excuse
trompé,deceived
cadavre,corpse
bouton,button
cancer,cancer
descend,descend
centaines,hundreds
poussière,dust
piscine,pool
entraînement,coaching
terminée,finished
tapis,carpet
esprits,spirits
phil,phil
inviter,invite
œuvre,artwork
imagination,imagination
chut,hush
park,park
existence,existence
empereur,emperor
décide,decided
eric,Eric
ascenseur,lift
criminel,criminal
révolution,revolution
principal,major
terres,lands
charmante,charming
promesse,promise
période,period
craint,fear
croyait,believed
courrier,mail
récemment,recently
écran,screen
anciens,old -fashioned
cris,cries
passes,passes
combattre,combat
réveille,wake up
feront,will do
élevé,raised
têtes,heads
souffre,suffer
quiconque,anyone
malheureux,unfortunate
césar,Caesar
arrives,arrival
empêche,stop
brisé,broken
garage,garage
russie,Russia
Jackson,Jackson
bêtes,beasts
tenter,to attempt
excellente,excellent
passent,pass
ferez,will do
pub,pub
logique,logic
version,version
permet,allow
parte,part
temple,temple
section,section
rythme,rhythm
propriété,property
étrangers,foreigners
finis,finish
erreurs,errors
feriez,would do
propose,propose
examen,review
nation,nation
approchez,approach
différentes,different
traduction,translation
reconnu,recognized
cap,cap
meurtres,murders
courageux,brave
profiter,enjoy
juré,sworn
miel,Honey
poil,hair 
rapports,reports
chic,chic
fonds,funds
aimerait,would like
sable,sand
lutte,struggle
fière,proud
is,is
japon,Japan
douze,twelve
labo,lab
ya,ya
agence,agency
cependant,however
indiens,Indian
donnera,will give
restent,remain
ceinture,belt
seins,tits
étonnant,amazing
uns,some
nourrir,to feed
inventé,invented
sérieuse,serious
ment,is lying
pratique,convenient
invite,guest
potes,friends
meurtrier,murderer
vegas,vegas
idéal,ideal
maîtresse,mistress
central,central
fume,smoke
équipage,crew
brillant,bright
trouvent,find
crie,calls out
laura,laura
commission,commission
nager,swim
boit,drinking
bombes,bombs
figure,figure
revolver,revolver
crème,cream
rat,rat
tempête,storm
refaire,remake
née,born
supporte,support
crever,die
conduite,conduct
lci,lci
brown,brown
pure,pure
traitement,treatment
porté,gate
voyait,saw
cabine,cabin
fuite,leak
nationale,national
estomac,stomach
machines,machines
julie,julie
couloir,corridor
emily,Emily
ouah,Wow
bijoux,jewelry
lâcher,let go
acteurs,actors
sentez,feel
couleurs,colors
naturel,natural
travaillait,was working
Wilson,Wilson
incendie,fire
camarades,comrades
chute,fall
accompagne,accompanied
passés,past
médecins,doctors
revenue,revenue
peinture,painting
reconnaître,to acknowledge
dollar,dollar
coupez,cut
prénom,first name
puce,chip
pur,pure
prier,pray
actions,actions
voisin,neighbor
officiers,officers
prévenu,warned
chaude,hot
bains,baths
démon,demon
pierres,stones
miroir,mirror
forcément,necessarily
lumières,lights
actrice,actress
jouait,played
vérifie,checked
comportement,behaviour
avoue,confession
aient,have
buvez,drink
calmer,calm
amy,Amy
technique,technical
nôtres,ours
obtenu,obtained
autrefois,in the old days
parlera,talk to
Ryan,Ryan
boss,boss
parier,to bet
correct,correct
septembre,september
libres,free
affronter,confront
doué,gifted
appellent,call
repose,rests
conditions,terms
parfum,scent
protège,protected
tasse,Cup
pensée,thought
salaire,salary
bagnole,car
infos,info
jolies,pretty
récompense,reward
kim,kim
essayons,let's try
ordinaire,ordinary
jeunesse,youth
musée,Museum
bébés,babies
chuck,chuck
plaisantes,pleasant
absence,absence
aiors,Aiors
échappé,escape
fausse,fake
jury,jury
étudiants,students
approcher,approach
espagne,Spain
aprés,after
blonde,blonde hair
condition,condition
race,breed
vend,sells
absurde,absurd
masque,mask
appellerai,will call
pardonner,to forgive
pouvoirs,powers
laissée,left
annoncer,announce
origine,origin
el,el
apprends,learn
poitrine,chest
tape,tape
remis,discarded
couvert,covered
large,wide
prenons,let's take
pressé,press
nu,naked
loup,wolf
urgent,urgent
attente,waiting
bêtises,foolery
appels,calls
mystère,mystery
travailles,work
vélo,bike
vends,sell
armé,armed
réaction,reaction
flotte,fleet
bleue,blue
foot,football
foutez,chatter
virus,virus
oeufs,eggs
élève,student
daniel,Daniel
êtres,beings
vengeance,revenge
stan,stan
essayais,tried
minable,shabby
cérémonie,ceremony
gordon,gordon
uniquement,uniquely
salauds,bastard
alan,alan
froide,cold
helen,helen
portée,scope
disque,disk
attaqué,offensive
résoudre,to resolve
moche,ugly
scientifique,scientist
colle,glue
lady,lady
maximum,maximum
déclaration,statement
installer,to install
blessés,wounded
effort,effort
iras,IRAS
commandement,commandment
panne,breakdown
visiter,to visit
disiez,say
venais,came
pointe,point
moque,mocking
chambres,bedrooms
convaincu,convinced
raisonnable,within reason
aiiez,AIIZ
rencontrés,met
qualité,quality
aimée,beloved
irait,would go
épousé,marry
attitude,attitude
joseph,joseph
esclave,slave
milliards,billion
guide,guide
oeuvre,artwork
humour,humor
bible,Bible
boule,ball
sacs,bags
avocats,lawyers
yo,yo
meurent,die
connaissait,knew
union,union
ex,ex
sally,sally
blesser,hurt
taylor,Taylor
maggie,Maggie
perdus,lost
malades,sick
jungle,jungle
jugement,judgement
essai,essay
écrivain,writer
digne,worthy
survécu,survived
julia,julia
vérifié,checked
linda,linda
brûlé,burnt
noble,noble
sauté,jumped up
gâcher,spoil
inquiet,worry
enterrement,burial
prenne,take
site,site
engager,to hire
rayon,Ray
traîner,hang out
rang,rank
traître,traitor
berlin,Berlin
parlant,speaking
orange,orange
jenny,Jenny
voudras,will want
sentais,Smelt
bourse,stock Exchange
élèves,students
manques,gap
faisaient,were doing
partage,share 
légende,legend
cave,cellar
voleurs,thieves
fruits,fruits
préviens,warn
connaissent,know
venant,from
policiers,policeman
paire,pair
pommes,apples
meilleures,best
cassette,cassette
sommet,Mountain peak
remplacer,replace
objets,objects
idiots,idiots
cage,cage
saurais,would be
limite,limit
ailes,wings
explication,explanation
ô,Ô
bond,jump
floride,Florida
travaillez,Work
carter,housing
conseiller,advise
portait,wore
condamné,sentenced
voyant,seeing
recule,recuis
bénisse,bless
associé,associated
auteur,author
écouté,listen
sorcière,witch
edward,Edward
livrer,deliver
plainte,complaint
réellement,Actually
albert,Albert
adulte,adult
pile,pile
communauté,community
mandat,mandate
éducation,education
ramené,brings back
réponses,responses
bagarre,fight
escalier,stairs
naturellement,naturally
désire,longed for
lignes,lines
incident,incident
kilos,pounds
rats,rats
quinze,fifteen
parties,parts
véhicule,vehicle
wayne,wayne
chasser,hunt
bottes,boots
objectif,purpose
patients,patients
suivante,next
respecte,respect
attrapé,caught
junior,junior
colline,hill
professionnel,professional
devoirs,homework
conseils,tips
effets,effects
fichu,darkened
blessure,wound
messages,messages
baby,baby
crimes,crimes
moscou,Moscow
villes,cities
voudra,will want to
moto,motorbike
domaine,domain
organisation,organization
aimable,friendly
forts,strong
eue,eue
exercice,practice
voyager,to travel
arrestation,arrest
fasses,make
pizza,pizza
barbe,beard
french,french
dossiers,files
tunnel,tunnel
voudrez,will want
arrivait,was coming
roses,roses
amiral,admiral
cabinet,cabinet
mére,mother
poursuivre,pursue
forcé,strength
huile,oil
grosses,big
ranger,tidy
furieux,mad
vivait,lived
aidera,will help
géant,giant
tim,Tim
tours,towers
retire,took of
vote,vote
autorisation,permission
risqué,risk
hitler,Hitler
rond,round
show,show
territoire,territory
venger,revenge
exprès,on purpose
tuerai,will kill
anges,angels
classique,classic
soutien,support
rentres,return
tokyo,Tokyo
proposition,proposal
love,love
tests,tests
pétrole,oil
réaliser,achieve
sortira,will come out
soirs,evenings
ministère,ministry
magazine,magazine
verres,glasses
échec,failure
vieilles,old
pourrions,could
bol,bowl
plaire,to please
miller,miller
respecter,respect
cons,cons
golf,golf
bibliothèque,library
attirer,to attract
drapeau,flag
possède,possesses
production,production
conférence,conference
efforts,efforts
pere,dad
putains,whores
précieux,precious
religion,religion
rêver,dream
épreuve,test
retenir,retain
football,soccer
Frankie,Frankie
échoué,failed
pisser,piss
Barry,Barry
sortes,sort of
circonstances,circumstances
kong,kong
mignonne,cute
excellence,Excellency
auto,car
do,do
vague,vague
arrêtes,stops
nôtre,our
vallée,valley
Morgan,Morgan
enterré,buried
tandis,while
duc,duke
pêre,dad
assassiné,murdered
ooo,ooo
charme,charm
quart,quarter
arrangé,arranged
guitare,guitar
remplir,to fill
Sophie,Sophie
crève,buzzer
Jesse,Jesse
Bruce,Bruce
Sara,Sara
refuser,to refuse
donnent,give
Luke,Luke
taper,type
critique,critical
secrète,secret
terminer,to end
hauteur,height
comédie,comedy
cimetière,graveyard
baisé,fucked
cardiaque,heart
Catherine,Catherine
chiffres,figures
fêter,to celebrate
trouverez,will find
indien,Indian
altesse,highness
occupée,busy
intelligente,intelligent
culture,culture
deviner,to guess
géniale,brilliant
limites,limits
Nancy,Nancy
précis,precise
éternité,eternity
ball,ball
plateau,tray
prises,taken
viendrai,will come
rempli,completed
clairement,clearly
intérêts,interests
langage,speech
aides,aid
feux,fires
Betty,Betty
copie,copy
profondément,deeply
fâché,angry
incapable,unable
mercredi,Wednesday
souffrance,suffering
avouer,confess
mile,mile
posez,Place
lion,lion
ali,Ali
soigner,to tend to
fenêtres,Windows
pue,stinking
électrique,electric
italien,Italian
traversé,crossed
réception,reception
énerve,irritated
rentrons,Let's go back
couvrir,cover
fonce,dark
Harvey,Harvey
Kyle,Kyle
produits,products
loyer,rent
grace,grace
bleus,blue
assistant,assistant
cervelle,brain
trente,thirty
yeah,Yeah
saches,know
national,national
avenue,avenue
evidemment,obviously
reçois,receive
cité,cited
liaison,connection
prouve,prove
collier,necklace
aprês,after
séance,session
placard,closet
criminels,criminals
irais,go
riz,rice
sandwich,sandwich
boston,Boston
parlerai,will speak
places,places
stade,stadium
gagnant,winner
moral,moral
tendre,tender
fleuve,River
mêre,mother
stanley,Stanley
trouvait,found
auparavant,previously
personnellement,personally
fièvre,fever
champs,fields
tuera,will kill
chatte,cat
actes,acts
restait,remained
amant,lover
concernant,re
las,the ace
ferons,will do
cherchent,they search
tenait,held
exécution,execution
ann,Ann
lou,lou
pédé,fag
prière,pray
hélas,Alas
sortent,come out
bateaux,boats
allaient,were going
durer,last
assise,seated
alarme,alarm
commencez,start
furent,were
prenait,taking
brad,brad
entièrement,entirely
médecine,medicine
juillet,july
sortis,out
sensible,sensitive
poudre,powder
finale,final
plais,pleasant
durs,hard
discussion,discussion
séparer,to separate
esclaves,slaves
instructions,Directions
beurre,butter
documents,documents
taré,tare
rick,rick
détail,retail
baron,baron
mettent,put
congrès,Congress
épaule,shoulder
poison,poison
final,final
métro,Metro
attendrai,will wait
serment,oath
chan,chan
pardonne,forgiven
espagnol,Spanish
supérieur,superior
w,W
degrés,degrees
rires,laughter
west,West
parker,parker
tuez,kill
œufs,eggs
fiancé,fiance
nerfs,nerves
portefeuille,wallet
robot,robot
internet,Internet
expert,expert
hank,hank
surveillance,surveillance
foutue,fucked up
rita,rita
réalisateur,director
entraîner,lead
martha,martha
descendu,descended
patrick,patrick
comté,county
congé,leave
finira,will end
caméras,cameras
sauce,sauce
balance,balance
destruction,destruction
moderne,modern
Carlos,Carlos
extrêmement,extremely
âmes,souls
expression,expression
marchera,will walk
commerce,trade
ivre,drunk
salopard,bastard
appétit,appetite
dette,debt
all,all
promener,to take a walk
employés,employees
admettre,admit
producteur,producer
attendons,let's wait
quittez,leave
brise,broken
wow,wow
juin,june
chats,cats
remets,put back
ajouter,add
couler,to flow
Pasteur,Pastor
alliez,combine
portrait,portrait
heu,uu
by,by
lancé,spear
diamants,diamonds
donnée,given
avantage,advantage
fidèle,faithful
juger,judge
renseignements,information
gang,gang
loué,rented
réseau,network
ouverture,opening
travaux,works
poussé,pushed
division,division
invitation,invitation
repartir,divide
trous,holes
rappelez,recall
totale,total
solide,solid
réservé,Reserve
Willie,Willie
autorité,authority
fermée,closed
munitions,ammunition
neveu,nephew
diras,will say
téléphoner,call
